host_iso,host_ns,line
2026-07-16T19:04:10.016499+00:00,17038048791,"CSI,A1,4647,fe:e3:be:47:e1:f0,-45,0,4,587529692,64,70,1,20,25,30,33,35,35,33,33,30,25,20,16,12,8,6,6,8,11,13,15,16,17,16,18,17,0,0,0,0,0,0,0,0,0,0,0,17,18,17,17,15,15,12,9,7,4,6,10,14,19,23,28,31,34,33,34,32,29,26,20,14,9"
2026-07-16T19:04:10.017731+00:00,17039277041,"CSI,A1,4648,fe:e3:be:47:e1:f0,-45,0,4,587529865,64,70,1,22,27,31,34,36,37,36,32,30,24,21,16,10,6,5,8,10,12,15,16,17,18,17,16,15,0,0,0,0,0,0,0,0,0,0,0,16,17,18,18,17,15,13,12,8,6,4,8,13,19,23,28,31,34,35,36,34,32,27,23,16,10"
2026-07-16T19:04:10.614014+00:00,17635518083,"CSI,A1,4649,fe:e3:be:47:e1:f0,-45,0,4,588126210,64,117,5,20,25,31,34,36,36,36,33,30,26,22,17,12,7,4,6,9,11,13,15,17,18,18,17,17,0,0,0,0,0,0,0,0,0,0,0,18,19,19,19,17,15,13,10,7,5,7,11,16,21,26,30,33,35,36,37,36,33,28,23,17,9"
2026-07-16T19:04:10.659121+00:00,17680656916,"CSI,A1,4650,fe:e3:be:47:e1:f0,-46,0,4,588173525,64,70,1,45,38,31,24,16,9,6,10,14,19,23,26,28,27,27,25,22,19,15,11,8,4,2,4,7,0,0,0,0,0,0,0,0,0,0,0,6,4,3,6,10,14,17,22,24,27,29,29,28,26,22,18,13,8,7,13,20,27,33,41,46,49"
2026-07-16T19:04:10.860506+00:00,17881987833,"CSI,A1,4651,fe:e3:be:47:e1:f0,-45,0,4,588375489,64,70,1,27,27,27,25,23,19,16,12,8,4,2,4,7,10,12,13,13,13,12,12,10,9,7,5,4,0,0,0,0,0,0,0,0,0,0,0,10,9,8,7,4,3,2,4,7,10,13,16,18,20,21,21,21,19,17,14,10,6,5,7,12,18"
2026-07-16T19:04:12.056597+00:00,19078018583,"STAT,A1,589685,10079,4651,4651,0,215172"
2026-07-16T19:04:12.196548+00:00,19217937291,"CSI,A1,4652,fe:e3:be:47:e1:f0,-46,0,4,589711227,64,117,5,43,43,42,38,35,30,24,18,12,7,6,9,13,17,20,22,21,21,20,19,18,16,13,10,7,0,0,0,0,0,0,0,0,0,0,0,17,15,13,10,8,5,4,8,12,18,22,26,29,33,33,34,33,29,25,21,15,9,7,14,21,28"
2026-07-16T19:04:12.593080+00:00,19614432000,"CSI,A1,4653,46:85:da:11:dc:b9,-77,0,4,590105103,64,88,5,27,23,22,15,15,10,8,6,8,11,15,18,21,23,24,25,23,20,18,15,13,11,7,7,11,0,0,0,0,0,0,0,0,0,0,0,22,26,25,27,26,31,30,32,31,30,28,27,22,21,22,21,22,23,26,26,29,30,30,31,33,31"
2026-07-16T19:04:13.579402+00:00,20600689500,"CSI,A1,4654,fe:e3:be:47:e1:f0,-46,0,4,591089303,64,117,5,40,38,35,31,27,24,21,20,20,21,23,24,25,25,24,24,22,20,17,16,14,13,11,11,11,0,0,0,0,0,0,0,0,0,0,0,12,10,10,10,9,10,12,14,17,21,22,24,25,25,25,24,22,21,20,20,21,24,27,31,35,38"
2026-07-16T19:04:14.029366+00:00,21050669666,"CSI,A1,4655,fe:e3:be:47:e1:f0,-45,0,4,591541190,64,70,1,33,28,24,20,18,18,20,21,23,25,25,26,25,24,22,20,17,14,12,11,10,10,10,11,12,0,0,0,0,0,0,0,0,0,0,0,6,6,8,10,12,14,16,18,21,22,22,22,20,19,17,15,14,16,18,22,26,31,35,37,40,40"
2026-07-16T19:04:14.154613+00:00,21175884291,"CSI,A1,4656,fe:e3:be:47:e1:f0,-44,0,4,591669121,64,70,1,24,25,25,28,29,31,32,31,30,30,28,26,24,20,17,16,14,13,13,14,15,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,13,14,16,17,17,18,17,17,17,16,14,14,14,16,18,21,24,28,32,34,36,37,36,36,34,32"
2026-07-16T19:04:14.772638+00:00,21793855333,"CSI,A1,4657,98:0d:af:75:12:28,-13,0,4,592283327,64,70,1,24,24,24,24,24,23,23,20,20,21,21,21,21,21,20,18,18,17,17,17,16,16,15,14,14,0,0,0,0,0,0,0,0,0,0,0,15,15,16,16,17,17,18,18,19,19,20,20,20,20,20,20,20,20,22,23,23,23,23,24,24,24"
2026-07-16T19:04:14.822143+00:00,21843359250,"CSI,A1,4658,98:0d:af:75:12:28,-13,0,4,592332405,64,70,1,27,28,26,26,26,26,26,22,22,22,23,23,23,22,21,20,19,18,18,17,17,17,17,16,16,0,0,0,0,0,0,0,0,0,0,0,16,16,17,18,19,20,20,21,21,22,22,22,22,23,24,22,23,22,26,26,26,26,26,27,27,27"
2026-07-16T19:04:14.827296+00:00,21848514125,"CSI,A1,4659,98:0d:af:75:12:28,-13,0,4,592332854,64,70,1,24,23,23,23,22,23,22,19,20,19,20,20,20,19,19,18,17,16,16,16,15,15,15,14,13,0,0,0,0,0,0,0,0,0,0,0,14,15,15,16,16,17,18,18,18,18,19,19,20,20,20,19,20,19,23,23,23,23,23,23,24,24"
2026-07-16T19:04:14.831028+00:00,21852234250,"CSI,A1,4660,98:0d:af:75:12:28,-13,0,4,592345751,64,70,1,24,24,24,24,23,23,22,21,21,21,20,20,20,20,20,17,18,18,17,17,16,16,15,16,15,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,17,18,18,19,19,19,20,21,21,21,21,21,21,21,23,23,23,23,24,24,25,25"
2026-07-16T19:04:14.949273+00:00,21970496875,"CSI,A1,4661,fe:e3:be:47:e1:f0,-45,0,4,592462767,64,70,1,39,36,34,30,27,25,23,22,22,22,22,22,23,24,24,22,20,19,17,16,14,13,12,13,13,0,0,0,0,0,0,0,0,0,0,0,12,11,9,9,9,10,12,14,17,19,22,24,25,25,24,25,23,22,21,20,22,24,28,31,34,38"
2026-07-16T19:04:15.046684+00:00,22067876458,"CSI,A1,4662,fe:e3:be:47:e1:f0,-44,0,4,592559338,64,70,1,21,21,21,20,19,18,17,17,15,14,12,12,11,11,12,11,11,11,11,11,10,9,9,8,9,0,0,0,0,0,0,0,0,0,0,0,9,8,9,8,8,7,6,7,7,9,10,11,13,14,15,16,17,17,16,16,15,15,15,15,16,18"
2026-07-16T19:04:15.185784+00:00,22206993333,"CSI,A1,4663,fe:e3:be:47:e1:f0,-44,0,4,592698089,64,117,5,31,32,31,31,31,29,28,25,23,21,20,18,18,17,17,17,17,16,15,16,15,15,14,13,13,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,12,12,11,11,12,14,15,17,19,21,23,25,26,26,27,27,26,26,24,25,26,27"
2026-07-16T19:04:16.584452+00:00,23605589291,"CSI,A1,4664,fe:e3:be:47:e1:f0,-44,0,4,594094858,64,117,5,28,30,31,31,31,30,28,25,23,20,17,16,15,15,14,16,16,16,16,16,16,15,14,13,11,0,0,0,0,0,0,0,0,0,0,0,14,13,15,15,14,13,13,11,11,12,12,14,17,19,23,25,27,29,28,28,27,26,24,23,22,22"
